text,label,source
"After making it as written, it was oily and unpleasant, and the texture made it even worse. The ingredients were not cheap, so this was frustrating.",0,synthetic
"I do not usually leave negative reviews, but it was much too salty, and the texture made it even worse. Something about the proportions seems off.",0,synthetic
"No matter what I adjusted, it fell apart when I tried to serve it. No one at the table asked for seconds.",0,synthetic
"No matter what I adjusted, it was much too salty. I made only one very small substitution. It was one of those dishes that just never recovered. This was not a hit in my house.",0,synthetic
"This recipe looked great, but it was bland even after extra seasoning. I tested it twice with the same result. It was one of those dishes that just never recovered. I do not plan on making it a second time.",0,synthetic
"This recipe looked great, but it ended up pasty. I did not overcook it, either. The timing in the recipe did not match what actually happened.",0,synthetic
"Sadly, it ended up gummy in the center. I did not overcook it, either. It was one of those dishes that just never recovered.",0,synthetic
"I do not usually leave negative reviews, but it was bland even after extra seasoning. I was expecting comfort food, and this was just disappointing.",0,synthetic
"Unfortunately, it was bland even after extra seasoning. I was careful not to skip any steps. The ingredients were not cheap, so this was frustrating. This was not a hit in my house.",0,synthetic
"Sadly, it fell apart when I tried to serve it. It needed a lot more flavor than the recipe gave it. I would not recommend this one.",0,synthetic
"Even when I followed the directions, it was far sweeter than expected, and the texture made it even worse. It sounded better on paper than it tasted in real life.",0,synthetic
"Even when I followed the directions, it was missing something important in the flavor. I gave it plenty of time to rest. The smell was nice, but the taste did not follow through. I would not recommend this one.",0,synthetic
"I gave this a fair try, and it came out dry and crumbly, and the texture made it even worse. I tried adding extra seasoning, but it barely helped.",0,synthetic
"What came out of the oven had a strange aftertaste. I tested it twice with the same result. The smell was nice, but the taste did not follow through.",0,synthetic
"Sadly, it was bland even after extra seasoning. It needed a lot more flavor than the recipe gave it.",0,synthetic
The texture of this dish was bland even after extra seasoning. I made only one very small substitution. I would not serve this to guests. I had to add too much just to make it decent.,0,synthetic
"The texture of this dish came out dry and crumbly, and the texture made it even worse. The ingredients were not cheap, so this was frustrating.",0,synthetic
"My family thought it did not cook evenly, and the texture made it even worse. I followed the instructions closely and still would not make it again.",0,synthetic
"I gave this a fair try, and it ended up gummy in the center. I even used fresh ingredients. The smell was nice, but the taste did not follow through.",0,synthetic
"After making it as written, it was far sweeter than expected, and the texture made it even worse. My kids took one bite and pushed it away.",0,synthetic
"I had high hopes, but it was tough instead of tender. My kids took one bite and pushed it away.",0,synthetic
"No matter what I adjusted, it ended up pasty. I tested it twice with the same result. I do not think the measurements are balanced.",0,synthetic
"In my kitchen, it had a strange aftertaste. No one at the table asked for seconds. The recipe needs more testing before I would trust it again.",0,synthetic
"In my kitchen, it turned out bland and flat. I was careful not to skip any steps. The smell was nice, but the taste did not follow through.",0,synthetic
"Even when I followed the directions, it turned out bland and flat, and the texture made it even worse. The timing in the recipe did not match what actually happened.",0,synthetic
"I do not usually leave negative reviews, but it was watery and messy. I double-checked the oven temperature. The timing in the recipe did not match what actually happened. I do not plan on making it a second time.",0,synthetic
"Sadly, it was oily and unpleasant. My kids took one bite and pushed it away. It definitely did not live up to the ratings.",0,synthetic
"The texture of this dish was oily and unpleasant. The ingredients were not cheap, so this was frustrating.",0,synthetic
"In the end, it looked fine but tasted disappointing. I gave it plenty of time to rest. I tried adding extra seasoning, but it barely helped.",0,synthetic
"I really wanted this to work, but it was bland even after extra seasoning. The timing in the recipe did not match what actually happened.",0,synthetic
"I gave this a fair try, and it turned out bland and flat, and the texture made it even worse. No one at the table asked for seconds.",0,synthetic
The final dish did not cook evenly. I gave it plenty of time to rest. I would rather start over with a different recipe.,0,synthetic
"To be honest, it came out underwhelming. I would not serve this to guests.",0,synthetic
"Unfortunately, it had a strange aftertaste, and the texture made it even worse. I tried adding extra seasoning, but it barely helped.",0,synthetic
"I had high hopes, but it was missing something important in the flavor. I followed the instructions closely and still would not make it again. Next time I will use a completely different recipe.",0,synthetic
"Sadly, it turned out bland and flat. I did not overcook it, either. Something about the proportions seems off.",0,synthetic
"The flavor of this dish did not cook evenly, and the texture made it even worse. It sounded better on paper than it tasted in real life.",0,synthetic
